Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Cost,Price,Profit,Quantity,Sales,Year,Quarter,Month,Month Number,Shipping Days,Profit Margin,Revenue Per Unit,Profit Per Unit,Loss Order
12,CA-2015-115812,2015-09-06,2015-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032.0,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,212.91,908.39,695.48,16,14534.26161,2015,3,September,9,-84,0.047851072084837756,908.391350625,43.4675,0
13,CA-2018-114412,2018-04-15,2018-04-20,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027.0,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,60.15,763.94,703.8,15,11459.14745,2018,2,April,4,5,0.06141818168157003,763.9431633333334,46.919999999999995,0
14,CA-2017-161389,2017-05-12,2017-10-12,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103.0,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,675.25,852.84,177.59,25,21321.118,2017,2,May,5,153,0.008329300555439918,852.8447199999999,7.1036,0
15,US-2016-118983,2016-11-22,2016-11-26,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106.0,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",803.28,725.46,-77.83,1,725.4552952,2016,4,November,11,4,-0.10728435027625392,725.4552952,-77.83,1
16,US-2016-118983,2016-11-22,2016-11-26,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106.0,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,351.75,586.56,234.81,22,12904.31631,2016,4,November,11,4,0.01819623716275752,586.5598322727272,10.673181818181819,0
17,CA-2015-105893,2015-11-11,2015-11-18,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711.0,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",143.05,170.27,27.22,12,2043.216336,2015,4,November,11,7,0.013322133109648356,170.268028,2.268333333333333,0
18,CA-2015-167164,2015-05-13,2015-05-15,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084.0,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,826.87,819.44,-7.42,12,9833.289446,2015,2,May,5,2,-0.0007545796389648958,819.4407871666667,-0.6183333333333333,1
19,CA-2015-143336,2015-08-27,2015-01-09,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109.0,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,354.24,193.42,-160.82,17,3288.058439,2015,3,August,8,-230,-0.04891032291047428,193.41520229411765,-9.459999999999999,1
20,CA-2015-143336,2015-08-27,2015-01-09,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109.0,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,602.46,385.89,-216.57,9,3473.031415,2015,3,August,8,-230,-0.062357627709509214,385.89237944444443,-24.063333333333333,1
21,CA-2015-143336,2015-08-27,2015-01-09,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109.0,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",527.78,835.49,307.71,6,5012.920677,2015,3,August,8,-230,0.061383377042413145,835.4867795,51.285,0
22,CA-2017-137330,2017-09-12,2017-12-13,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025.0,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,154.0,564.5,410.5,8,4515.970601,2017,3,September,9,92,0.09089961743973718,564.496325125,51.3125,0
23,CA-2017-137330,2017-09-12,2017-12-13,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025.0,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",969.56,73.08,-896.48,2,146.1597015,2017,3,September,9,92,-6.133564797954927,73.07985075,-448.24,1
24,US-2018-156909,2018-07-16,2018-07-18,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",541.44,458.43,-83.01,17,7793.331876,2018,3,July,7,2,-0.01065141345457569,458.43128682352943,-4.882941176470588,1
25,CA-2016-106320,2016-09-25,2016-09-30,Standard Class,EB-13870,Emily Burns,Consumer,United States,Orem,Utah,84057.0,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,202.83,797.24,594.41,22,17539.29487,2016,3,September,9,5,0.03389018796968318,797.240675909091,27.01863636363636,0
26,CA-2017-121755,2017-01-16,2017-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049.0,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,586.08,773.06,186.98,6,4638.355416,2017,1,January,1,4,0.04031170171975454,773.059236,31.16333333333333,0
27,CA-2017-121755,2017-01-16,2017-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049.0,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,183.92,369.63,185.71,22,8131.913529,2017,1,January,1,4,0.022837183319488294,369.63243313636366,8.441363636363636,0
28,US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",188.52,742.99,554.47,15,11144.84174,2016,3,September,9,4,0.04975126726205087,742.9894493333334,36.964666666666666,0
29,US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,728.56,670.87,-57.68,5,3354.36886,2016,3,September,9,4,-0.0171954851739233,670.873772,-11.536,1
30,US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",368.86,957.31,588.45,18,17231.61635,2016,3,September,9,4,0.03414943717685544,957.3120194444444,32.69166666666667,0
31,US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,943.14,968.45,25.32,21,20337.54573,2016,3,September,9,4,0.0012449879811530238,968.4545585714286,1.2057142857142857,0
32,US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",516.86,762.18,245.31,15,11432.63183,2016,3,September,9,4,0.0214570016464879,762.1754553333334,16.354,0
33,US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",297.18,763.19,466.01,7,5342.33281,2016,3,September,9,4,0.0872296834685595,763.1904014285714,66.57285714285715,0
34,US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,281.17,600.8,319.63,14,8411.196939,2016,3,September,9,4,0.03800053694117886,600.7997813571428,22.830714285714286,0
35,CA-2018-107727,2018-10-19,2018-10-23,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095.0,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,500.8,562.08,61.27,3,1686.23117,2018,4,October,10,4,0.03633546876019378,562.0770566666666,20.423333333333336,0
36,CA-2017-117590,2017-08-12,2017-10-12,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080.0,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,702.18,580.41,-121.76,7,4062.877937,2017,3,August,8,61,-0.029968904281162508,580.4111338571429,-17.394285714285715,1
37,CA-2017-117590,2017-08-12,2017-10-12,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080.0,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",816.79,332.61,-484.19,4,1330.433705,2017,3,August,8,61,-0.3639339549053292,332.60842625,-121.0475,1
38,CA-2016-117415,2016-12-27,2016-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041.0,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",866.76,75.04,-791.72,9,675.3258823,2016,4,December,12,4,-1.1723525200953193,75.03620914444444,-87.9688888888889,1
39,CA-2016-117415,2016-12-27,2016-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041.0,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",915.83,618.75,-297.09,18,11137.436,2016,4,December,12,4,-0.026674900758127812,618.7464444444445,-16.505,1
40,CA-2016-117415,2016-12-27,2016-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041.0,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",990.31,399.45,-590.86,22,8787.869102,2016,4,December,12,4,-0.06723586720989372,399.44859554545457,-26.85727272727273,1
41,CA-2016-117415,2016-12-27,2016-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041.0,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,827.12,359.77,-467.36,7,2518.377943,2016,4,December,12,4,-0.18557977022434555,359.76827757142854,-66.76571428571428,1
42,CA-2018-120999,2018-10-09,2018-09-15,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540.0,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,429.08,30.69,-398.39,10,306.9458167,2018,4,October,10,-24,-1.2979163693550997,30.69458167,-39.839,1
43,CA-2017-101343,2017-07-17,2017-07-22,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049.0,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",205.78,995.4,789.62,23,22894.29727,2017,3,July,7,5,0.034489811619363146,995.4042291304347,34.331304347826084,0
44,CA-2018-139619,2018-09-19,2018-09-23,Standard Class,ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,32935.0,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",913.38,242.91,-670.47,10,2429.108418,2018,3,September,9,4,-0.27601485179983437,242.9108418,-67.047,1
45,CA-2017-118255,2017-11-03,2017-03-13,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122.0,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",542.25,649.85,107.6,1,649.8492626,2017,4,November,11,-235,0.16557685942352257,649.8492626,107.6,0
46,CA-2017-118255,2017-11-03,2017-03-13,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122.0,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,282.07,283.29,1.22,25,7082.237861,2017,4,November,11,-235,0.00017226193527306044,283.28951444,0.048799999999999996,0
47,CA-2015-146703,2015-10-20,2015-10-25,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185.0,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",23.82,802.03,778.22,7,5614.221833,2015,4,October,10,5,0.1386158265827114,802.0316904285713,111.17428571428572,0
48,CA-2017-169194,2017-06-20,2017-06-25,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901.0,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,185.42,818.23,632.81,6,4909.398252,2017,2,June,6,5,0.12889767085858325,818.233042,105.46833333333332,0
49,CA-2017-169194,2017-06-20,2017-06-25,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901.0,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",619.04,903.05,284.01,21,18964.14972,2017,2,June,6,5,0.014976152592830298,903.0547485714286,13.524285714285714,0
50,CA-2016-115742,2016-04-18,2016-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150.0,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",87.19,736.24,649.05,17,12516.13024,2016,2,April,4,4,0.051857082624924805,736.2429552941177,38.17941176470588,0
51,CA-2016-115742,2016-04-18,2016-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150.0,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,242.66,953.24,710.59,7,6672.69409,2016,2,April,4,4,0.10649221894720488,953.2420128571429,101.51285714285714,0
52,CA-2016-115742,2016-04-18,2016-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150.0,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,357.46,763.57,406.11,19,14507.79141,2016,2,April,4,4,0.027992544731520925,763.5679689473684,21.37421052631579,0
53,CA-2016-115742,2016-04-18,2016-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150.0,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",136.89,587.15,450.25,22,12917.20012,2016,2,April,4,4,0.034856624951011446,587.14546,20.46590909090909,0
54,CA-2017-105816,2017-11-12,2017-12-17,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024.0,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,750.98,34.62,-716.35,1,34.6230988,2017,4,November,11,35,-20.68994471401849,34.6230988,-716.35,1
55,CA-2017-105816,2017-11-12,2017-12-17,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024.0,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,963.45,995.71,32.25,16,15931.28358,2017,4,November,11,35,0.00202431899715139,995.70522375,2.015625,0
56,CA-2017-111682,2017-06-17,2017-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.0,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,804.72,437.1,-367.62,18,7867.773349,2017,2,June,6,1,-0.04672478269175418,437.0985193888889,-20.423333333333332,1
57,CA-2017-111682,2017-06-17,2017-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.0,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,392.64,157.29,-235.36,17,2673.879838,2017,2,June,6,1,-0.0880219060913537,157.28704929411765,-13.844705882352942,1
58,CA-2017-111682,2017-06-17,2017-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.0,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,87.4,1.51,-85.9,15,22.60573185,2017,2,June,6,1,-3.799921213344836,1.50704879,-5.7266666666666675,1
59,CA-2017-111682,2017-06-17,2017-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.0,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",488.25,42.56,-445.69,16,680.9024654,2017,2,June,6,1,-0.654557770969704,42.5564040875,-27.855625,1
60,CA-2017-111682,2017-06-17,2017-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.0,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,159.47,360.48,201.0,8,2883.827155,2017,2,June,6,1,0.06969904546862483,360.478394375,25.125,0
61,CA-2017-111682,2017-06-17,2017-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.0,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,957.08,502.84,-454.24,25,12570.98008,2017,2,June,6,1,-0.03613401637018583,502.8392032,-18.1696,1
62,CA-2017-111682,2017-06-17,2017-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.0,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,306.2,295.23,-10.97,12,3542.806551,2017,2,June,6,1,-0.0030964151844259137,295.23387925000003,-0.9141666666666667,1
63,CA-2016-135545,2016-11-24,2016-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004.0,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",635.51,683.8,48.29,21,14359.77677,2016,4,November,11,6,0.0033628656471099165,683.7988938095239,2.2995238095238095,0
64,CA-2016-135545,2016-11-24,2016-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004.0,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",391.32,740.7,349.38,19,14073.22008,2016,4,November,11,6,0.024825874818551124,740.6957936842105,18.38842105263158,0
65,CA-2016-135545,2016-11-24,2016-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004.0,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,855.78,198.26,-657.52,9,1784.381756,2016,4,November,11,6,-0.36848617051204596,198.26463955555556,-73.05777777777777,1
66,CA-2016-135545,2016-11-24,2016-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004.0,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,145.26,413.09,267.83,2,826.180006,2016,4,November,11,6,0.3241787480390804,413.090003,133.915,0
67,US-2016-164175,2016-04-30,2016-05-05,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610.0,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",350.54,390.39,39.85,25,9759.694933,2016,2,April,4,5,0.004083119428790449,390.38779732,1.594,0
68,CA-2015-106376,2015-05-12,2015-10-12,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234.0,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",306.17,465.09,158.92,9,4185.804457,2015,2,May,5,153,0.03796641759847024,465.08938411111114,17.657777777777778,0
69,CA-2015-106376,2015-05-12,2015-10-12,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234.0,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,674.71,262.71,-412.0,8,2101.681808,2015,2,May,5,153,-0.19603348063047993,262.710226,-51.5,1
70,CA-2017-119823,2017-04-06,2017-06-06,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153.0,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",623.34,978.67,355.33,10,9786.692444,2017,2,April,4,61,0.036307465676807364,978.6692444,35.533,0
71,CA-2017-106075,2017-09-18,2017-09-23,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,10009.0,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,160.93,676.2,515.28,8,5409.631112,2017,3,September,9,5,0.09525233594153434,676.203889,64.41,0
72,CA-2018-114440,2018-09-14,2018-09-17,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,49201.0,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",190.36,14.39,-175.96,18,259.0547228,2018,3,September,9,3,-0.679238726467256,14.391929044444444,-9.775555555555556,1
73,US-2016-134026,2016-04-26,2016-02-05,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109.0,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,890.82,454.88,-435.94,19,8642.734197,2016,2,April,4,-81,-0.050440056359863546,454.8807472105263,-22.94421052631579,1
74,US-2016-134026,2016-04-26,2016-02-05,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109.0,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",335.84,476.11,140.27,10,4761.075788,2016,2,April,4,-81,0.029461828848333385,476.1075788,14.027000000000001,0
75,US-2016-134026,2016-04-26,2016-02-05,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109.0,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,469.6,689.82,220.23,4,2759.299315,2016,2,April,4,-81,0.07981374068510577,689.82482875,55.0575,0
76,US-2018-118038,2018-09-12,2018-11-12,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041.0,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,283.6,295.23,11.63,19,5609.300622,2018,3,September,9,61,0.0020733422548947496,295.2263485263158,0.6121052631578948,0
77,US-2018-118038,2018-09-12,2018-11-12,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041.0,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",315.81,194.95,-120.86,2,389.9023347,2018,3,September,9,61,-0.30997506104443445,194.95116735,-60.43,1
78,US-2018-118038,2018-09-12,2018-11-12,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041.0,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",791.14,943.26,152.13,18,16978.71025,2018,3,September,9,61,0.008960044535773853,943.2616805555556,8.451666666666666,0
79,US-2015-147606,2015-11-26,2015-01-12,Second Class,JE-15745,Joel Eaton,Consumer,United States,Houston,Texas,77070.0,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",696.55,122.51,-574.04,24,2940.211428,2015,4,November,11,-318,-0.19523766030338685,122.5088095,-23.918333333333333,1
